The copyright to the intellectual property of this file is held by www.climatedata.info
Title,"Temperature, CO2 and Milankovitch cycles - EPICA",,
Source,http://www.ncdc.noaa.gov/paleo/indexice.html,,
Source,http://www1.ncdc.noaa.gov/pub/data/paleo/climate_forcing/orbital_variations/berger_insolation/,,
BP,Temperature,CO2,Milankovich
-783000,-1.992,250.811,518.83
-782900,-2.04,250.321,517.96
-782800,-2.009,249.831,517.01
-782700,-1.979,249.341,516.07
-782600,-1.949,248.851,515.13
-782500,-1.92,248.361,514.18
-782400,-1.89,247.871,513.24
-782300,-1.861,247.381,512.29
-782200,-1.84,246.891,511.35
-782100,-1.927,246.2,510.4
-782000,-1.993,246.482,509.46
-781900,-2.06,246.959,508.52
-781800,-2.126,247.436,507.64
-781700,-2.193,247.913,506.77
-781600,-2.28,248.39,505.9
-781500,-2.289,248.7,505.03
-781400,-2.303,247.837,504.16
-781300,-2.317,247.198,503.28
-781200,-2.331,246.559,502.41
-781100,-2.344,245.919,501.54
-781000,-2.358,245.28,500.67
-780900,-2.37,244.641,499.8
-780800,-2.335,244.002,499.02
-780700,-2.305,243.363,498.25
-780600,-2.274,242.8,497.47
-780500,-2.244,244.656,496.7
-780400,-2.213,246.313,495.92
-780300,-2.17,248.5,495.15
-780200,-2.166,248.154,494.37
-780100,-2.16,247.645,493.6
-780000,-2.154,247.136,492.82
-779900,-2.148,246.627,492.05
-779800,-2.142,246.119,491.42
-779700,-2.136,245.61,490.79
-779600,-2.13,245.101,490.16
-779500,-2.136,244.592,489.53
-779400,-2.142,243.9,488.9
-779300,-2.148,244.115,488.27
-779200,-2.154,244.451,487.64
-779100,-2.16,244.786,487.01
-779000,-2.165,245.122,486.38
-778900,-2.17,245.458,485.75
-778800,-2.201,245.8,485.34
-778700,-2.226,245.833,484.93
-778600,-2.252,245.866,484.52
-778500,-2.277,245.9,484.11
-778400,-2.302,245.933,483.69
-778300,-2.34,245.966,483.28
-778200,-2.365,246,482.87
-778100,-2.415,246.033,482.46
-778000,-2.465,246.067,482.05
-777900,-2.514,246.1,481.64
-777800,-2.564,246.158,481.42
-777700,-2.613,246.216,481.2
-777600,-2.67,246.3,480.98
-777500,-2.674,246.154,480.76
-777400,-2.678,245.893,480.55
-777300,-2.683,245.632,480.33
-777200,-2.687,245.371,480.11
-777100,-2.692,245.11,479.89
-777000,-2.696,244.85,479.67
-776900,-2.7,244.589,479.46
-776800,-2.698,244.328,479.48
-776700,-2.697,244.067,479.51
-776600,-2.696,243.9,479.53
-776500,-2.694,242.742,479.55
-776400,-2.693,241.891,479.58
-776300,-2.691,241.039,479.6
-776200,-2.69,240.188,479.63
-776100,-2.731,239.336,479.65
-776000,-2.769,238.8,479.67
-775900,-2.806,239.036,479.7
-775800,-2.844,239.209,479.92
-775700,-2.882,239.381,480.14
-775600,-2.919,239.554,480.35
-775500,-2.96,239.726,480.57
-775400,-3.023,239.898,480.79
-775300,-3.093,240.071,481.01
-775200,-3.162,240.243,481.22
-775100,-3.231,240.5,481.44
-775000,-3.3,240.135,481.66
-774900,-3.369,239.419,481.88
-774800,-3.47,238.704,482.24
-774700,-3.495,237.988,482.6
-774600,-3.542,237.272,482.97
-774500,-3.589,236.9,483.33
-774400,-3.636,236.286,483.69
-774300,-3.683,235.871,484.06
-774200,-3.729,235.457,484.42
-774100,-3.776,235.042,484.78
-774000,-3.82,234.627,485.15
-773900,-3.866,234.212,485.51
-773800,-3.909,233.798,485.95
-773700,-3.953,233.3,486.38
-773600,-3.996,232.886,486.82
-773500,-4.039,232.368,487.25
-773400,-4.082,231.85,487.69
-773300,-4.13,231.331,488.13
-773200,-4.181,230.813,488.56
-773100,-4.237,230.295,489
-773000,-4.294,230,489.43
-772900,-4.351,230.133,489.87
-772800,-4.408,230.226,490.33
-772700,-4.465,230.319,490.79
-772600,-4.52,230.412,491.25
-772500,-4.488,230.505,491.71
-772400,-4.457,230.598,492.17
-772300,-4.426,230.692,492.63
-772200,-4.395,230.785,493.09
-772100,-4.364,230.9,493.55
-772000,-4.32,230.611,494.01
-771900,-4.286,230.23,494.47
-771800,-4.227,229.85,494.93
-771700,-4.168,229.5,495.39
-771600,-4.108,231.477,495.85
-771500,-4.049,233.307,496.31
-771400,-3.99,235.138,496.77
-771300,-3.93,237.7,497.23
-771200,-3.911,237.226,497.69
-771100,-3.893,236.437,498.15
-771000,-3.874,235.6,498.61
-770900,-3.855,236.505,499.07
-770800,-3.836,237.468,499.39
-770700,-3.817,238.2,499.7
-770600,-3.8,237.036,500.02
-770500,-3.806,236.098,500.33
-770400,-3.811,235.6,500.65
-770300,-3.817,233.681,500.96
-770200,-3.822,232.375,501.27
-770100,-3.828,231.5,501.59
-770000,-3.833,229.386,501.9
-769900,-3.84,227.796,502.22
-769800,-3.915,226,502.44
-769700,-4.007,226.669,502.66
-769600,-4.099,227.439,502.87
-769500,-4.191,228.1,503.09
-769400,-4.284,226.454,503.31
-769300,-4.376,225.01,503.53
-769200,-4.468,223.566,503.74
-769100,-4.54,222.122,503.96
-769000,-4.665,221.527,504.18
-768900,-4.767,221.78,504.4
-768800,-4.869,222.033,504.45
-768700,-4.971,222.4,504.5
-768600,-5.073,222.118,504.54
-768500,-5.176,221.606,504.59
-768400,-5.278,221.094,504.64
-768300,-5.33,220.583,504.69
-768200,-5.465,220.071,504.74
-768100,-5.555,219.559,504.79
-768000,-5.646,219.047,504.83
-767900,-5.736,218.535,504.88
-767800,-5.826,218.023,504.79
-767700,-5.917,217.7,504.69
-767600,-6,216.802,504.59
-767500,-6.064,216.147,504.5
-767400,-6.123,215.492,504.4
-767300,-6.182,214.837,504.3
-767200,-6.241,214.181,504.2
-767100,-6.3,213.5,504.11
-767000,-6.359,213.714,504.01
-766900,-6.4,213.937,503.91
-766800,-6.364,214.16,503.65
-766700,-6.336,214.384,503.38
-766600,-6.307,214.607,503.12
-766500,-6.279,214.83,502.85
-766400,-6.251,215.053,502.58
-766300,-6.22,215.276,502.32
-766200,-6.125,215.499,502.05
-766100,-6.017,215.7,501.78
-766000,-5.908,216.023,501.52
-765900,-5.8,216.316,501.25
-765800,-5.692,216.609,500.94
-765700,-5.56,216.8,500.62
-765600,-5.501,217.668,500.31
-765500,-5.426,218.311,499.99
-765400,-5.351,218.954,499.68
-765300,-5.276,219.597,499.36
-765200,-5.201,220.24,499.05
-765100,-5.1,220.883,498.73
-765000,-5.064,221.526,498.42
-764900,-5.009,222.169,498.1
-764800,-4.953,222.6,497.72
-764700,-4.898,222.942,497.33
